Location,No.of Deaths Male,No.of Deaths Female,Grievous Injury Male,Grievous Injury Female,Non Grievous Injury Male,Non Grievous Injury Female,Total
Ampara ,63,15,231,59,573,158,1099
Anuradhapura,102,21,311,84,575,200,1293
Badulla ,35,12,149,51,367,211,825
Batticaloa ,45,9,183,30,507,95,869
Chilaw ,140,19,267,69,420,98,1013
Colombo ,234,75,1090,333,2098,662,4492
Galle ,132,39,421,123,1033,320,2068
Gampaha ,328,51,866,210,2089,637,4181
Jaffna ,45,9,104,18,307,57,540
Kalutara ,131,30,442,119,900,332,1954
Kandy ,88,28,257,84,971,422,1850
Kegalle ,113,30,328,97,569,266,1403
Kilinochchi ,23,3,36,8,140,44,254
Kurunegala ,197,46,697,128,1302,395,2765
Mannar ,15,3,38,2,62,13,133
Matale ,47,8,223,44,502,161,985
Matara ,54,11,226,92,407,187,977
Monaragala ,62,15,250,62,456,138,983
Mullativ ,2,1,7,2,11,4,27
Nuwara Eliya ,13,8,67,22,307,138,555
Polonnaruwa ,67,14,183,42,354,91,751
Ratnapura ,110,28,332,92,626,151,1339
Tangalle ,86,13,235,41,341,109,825
Trincomalee ,35,5,91,13,403,88,635
Vavuniya ,15,2,52,12,166,48,295
Total,2182,495,7086,1837,15486,5025,32111
